"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Only a Lifetime","FINNEAS","Optimist","04:16","156.0","D","ipod-library://item/item.mp3?id=2022462885417764898","2024-01-28T02:05:24Z","1"
"Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","Riton & Nightcrawlers","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit] - Single","02:49","123.0","A","ipod-library://item/item.mp3?id=2022462885417765056","2024-01-28T02:05:40Z","2"
"Astronomy","Conan Gray","Astronomy - Single","04:03","96.7","G","ipod-library://item/item.mp3?id=2022462885417765251","2024-01-28T02:05:52Z","1"
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa","Cold Heart (PNAU Remix) - Single","03:22","116.0","Db","ipod-library://item/item.m4a?id=1665045138079621001","2024-01-28T02:06:11Z","2"
"We Found Love (feat. Calvin Harris)","Rihanna",,"03:35","128.0","Gb",,"2024-01-28T02:06:24Z","1"
"Never Gonna Wake You Up","AVICII, Rick Astley, Chumbawumba",,"08:53","124.0","D",,"2024-01-28T02:07:28Z","2"
"Hey Ya! (Radio Mix)","Outkast","Speakerboxxx/The Love Below","03:55","79.5","G","ipod-library://item/item.mp3?id=2022462885417765216","2024-01-28T02:11:39Z","1"
"2 Die 4 (Jax Jones Midnight Snacks Remix)","Tove Lo & Jax Jones","2 Die 4 (Jax Jones Midnight Snacks Remix) - Single","02:36","125.0","Db","ipod-library://item/item.mp3?id=2022462885417765210","2024-01-28T02:12:05Z","2"
"Do It To It (feat. Cherish & Tiësto) [Tiësto Remix]","Acraze",,"02:05","125.0","Bb",,"2024-01-28T02:12:52Z","1"
"Baby Don't Hurt Me","David Guetta, Anne-Marie & Coi Leray","Baby Don't Hurt Me - Single","02:20","128.0","G","ipod-library://item/item.mp3?id=2022462885417765209","2024-01-28T02:13:06Z","2"
"Deep Down (feat. Never Dull)","Alok, Ella Eyre & Kenny Dope",,"02:45","126.0","C",,"2024-01-28T02:13:28Z","1"
"El Payaso Del Rodeo","Grupo Rasado","Hay Que Gozar","03:55","110.0","A","ipod-library://item/item.mp3?id=2022462885417765072","2024-01-28T02:13:43Z","2"
"Dance The Night","Dua Lipa","Barbie The Album","02:56","110.0","D","ipod-library://item/item.mp3?id=2022462885417765117","2024-01-28T02:16:03Z","1"
"I’m Just Ken","Ryan Gosling",,"03:42","140.0","B",,"2024-01-28T02:22:24Z","2"
"What Was I Made For?","Billie Eilish","Barbie The Album","03:42","78.0","C","ipod-library://item/item.mp3?id=2022462885417765243","2024-01-28T02:22:32Z","1"
"September","Earth, Wind & Fire",,"03:34","126.3","A",,"2024-01-28T02:23:10Z","2"
"Heaven Takes You Home","Swedish House Mafia & Connie Constance",,"03:34","125.0","Eb",,"2024-01-28T02:24:35Z","1"
"Dopamine (feat. Eyelar)","Purple Disco Machine","Exotica","03:36","118.0","D","ipod-library://item/item.mp3?id=2022462885417765096","2024-01-28T02:24:59Z","2"
"Cruisin' for a Bruisin' (From ""Teen Beach Movie""/Soundtrack Version)","Brady, Jason Evigan & Grace Phipps","Teen Beach Movie","03:15","82.0","B","ipod-library://item/item.m4a?id=3664043265384390644","2024-01-28T02:25:12Z","1"
"Limbo","Daddy Yankee","Prestige","03:44","125.0","G","ipod-library://item/item.m4a?id=3664043265384390645","2024-01-28T02:25:25Z","2"
"Pink Venom","BLACKPINK","Pink Venom - Single","03:06","90.0","G","ipod-library://item/item.m4a?id=4943438597038208600","2024-01-28T02:28:09Z","1"
"Sunroof","Nicky Youre & Dazy","Sunroof - Single","02:43","131.5","Bb","ipod-library://item/item.mp3?id=2022462885417764851","2024-01-28T02:29:44Z","2"
"Bongo Cha Cha Cha","Goodboys","Bongo Cha Cha Cha - Single","01:53","126.0","Bb","ipod-library://item/item.m4a?id=2034777240154912874","2024-01-28T02:32:11Z","1"
"Goodbye","Imanbek & Goodboys","Goodbye - Single","02:24","125.0","Db","ipod-library://item/item.m4a?id=1665045138079621002","2024-01-28T03:44:00Z","2"
"La Chona","Los Tucanes de Tijuana","Para Tucancillos y Tucancillas","03:19","145.1","G","ipod-library://item/item.mp3?id=2022462885417765033","2024-01-28T03:45:42Z","1"
"Stevie Wonder  Cypress Hill  Run-DMC  The Beastie Boys - My Superstitious Brain (mashup)-1rZ9cqSJgRM-192k-1633004671995","Stevie Wonder Cypress Hill",,"04:00","102.3","Gb","ipod-library://item/item.mp3?id=2022462885417764971","2024-01-28T03:53:54Z","2"
