"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Sing, Sing, Sing (with Swing)","Benny Goodman & his orchestra",,"05:06","108.7","C","ipod-library://item/item.mp3?id=2022462885417764862","2024-01-28T01:46:31Z","1"
"Dancing Queen","ABBA","Gold: Greatest Hits","03:51","100.7","A","ipod-library://item/item.mp3?id=2022462885417765111","2024-01-28T01:53:10Z","2"
"YMCA (LD)","The Village People",,"03:46","126.7","Gb","ipod-library://item/item.mp3?id=2022462885417765278","2024-01-28T01:56:45Z","1"
"Turn Down For What","DJ Snake & Lil Jon","NOW That's What I Call Music! 50","03:32","100.0","G","ipod-library://item/item.mp3?id=2022462885417764813","2024-01-28T01:57:08Z","2"
"Toxic","Britney Spears","In the Zone","03:18","143.0","Eb","ipod-library://item/item.m4a?id=1665045138079620999","2024-01-28T01:58:11Z","1"
"Take On Me","a-ha","25 (Deluxe Version)","03:49","84.6","A","ipod-library://item/item.m4a?id=4183608934455048458","2024-01-28T01:58:40Z","2"
"Sing, Sing, Sing (with Swing)","Benny Goodman & his orchestra",,"05:06","108.7","C","ipod-library://item/item.mp3?id=2022462885417764862","2024-01-28T01:59:39Z","1"
"Stayin' Alive (feat. Ricardo Da Force)","N-Trance","Stayin' Alive (feat. Ricardo Da Force) - Single","04:05","106.8","A","ipod-library://item/item.m4a?id=2022462885417765352","2024-01-28T02:00:30Z","2"
"As It Was","Harry Styles","Harry's House","02:47","174.0","A","ipod-library://item/item.m4a?id=2034777240154912868","2024-01-28T02:00:37Z","1"
"Rasputin","Majestic & Boney M.","Rasputin - Single","03:06","128.0","D","ipod-library://item/item.m4a?id=842729424872958888","2024-01-28T02:00:47Z","2"
"Footloose","Kenny Loggins","Footloose (15th Anniversary Collectors' Edition) [Original Soundtrack of the Motion Picture]","03:46","174.1","Bb","ipod-library://item/item.mp3?id=2022462885417765059","2024-01-28T02:00:53Z","1"
"We Like To Party","Vengaboys",,"03:43","136.0","Eb","ipod-library://item/item.mp3?id=2022462885417764902","2024-01-28T02:01:10Z","2"
"You're Still The One","Shania Twain",,"03:17","134.0","Eb","ipod-library://item/item.mp3?id=2022462885417764784","2024-01-28T02:01:23Z","1"
"Jump Jive An' Wail (O)","Brian Setzer",,"02:54","100.0","Db","ipod-library://item/item.mp3?id=2022462885417764966","2024-01-28T02:01:32Z","2"
"Cupid Shuffle ","Cupid","Time for a Change","03:51","143.6","Bb","ipod-library://item/item.mp3?id=2022462885417765203","2024-01-28T02:01:58Z","1"
"Party In The U.S.A. (D)","Miley Cyrus","Party In The U.S.A. ","03:22","96.0","Gb","ipod-library://item/item.mp3?id=2022462885417765233","2024-01-28T02:03:39Z","2"
"A Thousand Years (S)","Christina Perri","A Thousand Years","04:45","140.0","Bb","ipod-library://item/item.mp3?id=2022462885417765235","2024-01-28T02:03:57Z","1"
"Lover","Taylor Swift","Lover","03:41","137.0","G","ipod-library://item/item.mp3?id=2022462885417764932","2024-01-28T02:04:04Z","2"
"WOW","Tiësto","WOW - Single","02:28","128.0","A","ipod-library://item/item.m4a?id=8167887227194774","2024-01-28T02:04:40Z","1"
"Perfect Duet (with Beyoncé)","Ed Sheeran","Perfect Duet (with Beyoncé) - Single","04:19","95.0","Ab","ipod-library://item/item.m4a?id=2034777240154912873","2024-01-28T02:05:12Z","2"
