"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Heads Will Roll (A-Trak Remix Radio Edit)","Yeah Yeah Yeahs","Heads Will Roll (A-Trak Remix) - Single","03:23","132.0","B","ipod-library://item/item.m4a?id=1232840921878780241","2024-10-13T22:59:13Z","1"
"Rasputin","Majestic & Boney M.","Rasputin - Single","03:06","128.0","D","ipod-library://item/item.m4a?id=842729424872958888","2024-10-13T22:59:30Z","1"
"Levels (Radio Edit)","Avicii","20 #1's: Workout","03:21","126.0","E","ipod-library://item/item.m4a?id=9121892332114370261","2024-10-13T23:29:18Z","1"
"You're Welcome","Dwayne Johnson","Moana (Original Motion Picture Soundtrack) [Deluxe Edition]","02:43","135.1","C","ipod-library://item/item.m4a?id=5581289775296930601","2024-10-13T23:31:43Z","2"
"Pokemon Theme Trap Remix","Pokemaster","Pokemon Remix - Single","03:53","140.0","G","ipod-library://item/item.m4a?id=9006737676240080818","2024-10-13T23:32:54Z","2"
"Let You Down","NF","Perception","03:32","74.0","Ab","ipod-library://item/item.m4a?id=2389878995993860388","2024-10-13T23:33:39Z","1"
"Sunrise (feat. April Bender)","ARTY","Sunrise (feat. April Bender) - Single","03:18","128.0","C","ipod-library://item/item.m4a?id=8013161628753114513","2024-10-13T23:34:56Z","2"
"123456","Fitz and The Tantrums","All the Feels","03:04","85.0","F","ipod-library://item/item.m4a?id=1232840921878780240","2024-10-13T23:36:20Z","1"
"Take On Me","a-ha","25 (Deluxe Version)","03:49","84.6","A","ipod-library://item/item.m4a?id=4183608934455048458","2024-10-13T23:36:43Z","1"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
