"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"Dancing Queen","ABBA","Gold: Greatest Hits","03:51","100.7","A","ipod-library://item/item.mp3?id=2022462885417765111","2023-01-15T04:25:50Z","1"
"Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","Riton & Nightcrawlers","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit] - Single","02:49","123.0","A","ipod-library://item/item.mp3?id=2022462885417765056","2023-01-15T04:31:00Z","1"
"Groove Is In The Heart","Deee-Lite",,"03:48","121.5","B","ipod-library://item/item.mp3?id=2022462885417765066","2023-01-15T04:33:57Z","2"
"Yakety Yak","The coasters",,"01:52","123.7","G","ipod-library://item/item.mp3?id=2022462885417764789","2023-01-15T04:37:41Z","1"
"Diamonds (feat. Jannine Weigel)","GAWVI","Diamonds (feat. Jannine Weigel) - Single","03:06","100.0","Db","ipod-library://item/item.mp3?id=2022462885417765107","2023-01-15T04:39:27Z","2"
"Blue (Da Ba Dee)","Eiffel 65, Gabry Ponte",,"03:30","128.0","Bb","ipod-library://item/item.mp3?id=2022462885417764958","2023-01-15T04:42:27Z","1"
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa","Cold Heart (PNAU Remix) - Single","03:22","116.0","Db","ipod-library://item/item.m4a?id=1665045138079621001","2023-01-15T04:45:50Z","2"
"YMCA (LD)","The Village People",,"03:46","126.7","Gb","ipod-library://item/item.mp3?id=2022462885417765278","2023-01-15T04:49:07Z","1"
"The Twist","Chubby Checker",,"02:35","78.7","E","ipod-library://item/item.mp3?id=2022462885417764825","2023-01-15T04:54:22Z","2"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
