"Title","Artist","Album","Time","BPM","Key","URL","Start Time","Deck"
"21 Reasons (feat. Ella Henderson)","Nathan Dawe","21 Reasons (feat. Ella Henderson) - Single","02:35","124.0","Gb","ipod-library://item/item.mp3?id=2022462885417765071","2024-01-28T04:25:28Z","1"
"Do It To It (feat. Cherish & Tiësto) [Tiësto Remix]","Acraze",,"02:05","125.0","Bb",,"2024-01-28T04:28:00Z","2"
"Bongo Cha Cha Cha","Goodboys","Bongo Cha Cha Cha - Single","01:53","126.0","Bb","ipod-library://item/item.m4a?id=2034777240154912874","2024-01-28T04:29:50Z","1"
"Go Bang","PNAU","Changa","03:09","121.0","D","ipod-library://item/item.m4a?id=3269565735445458873","2024-01-28T04:31:28Z","2"
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa","Cold Heart (PNAU Remix) - Single","03:22","116.0","Db","ipod-library://item/item.m4a?id=1665045138079621001","2024-01-28T04:34:22Z","1"
"Dare","Gorillaz","Demon Days","04:04","120.2","Bb","ipod-library://item/item.mp3?id=2022462885417765300","2024-01-28T04:37:29Z","2"
"Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Ofenbach & Quarterhead","Head Shoulders Knees & Toes (feat. Norma Jean Martine) - Single","02:37","125.0","G","ipod-library://item/item.mp3?id=2022462885417765018","2024-01-28T04:41:45Z","1"
"Stayin' Alive (feat. Ricardo Da Force)","N-Trance","Stayin' Alive (feat. Ricardo Da Force) - Single","04:05","106.8","A","ipod-library://item/item.m4a?id=2022462885417765352","2024-01-28T04:44:11Z","2"
"YMCA (LD)","The Village People",,"03:46","126.7","Gb","ipod-library://item/item.mp3?id=2022462885417765278","2024-01-28T04:48:01Z","1"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
